,Curb-weight,Engine Size,Horsepower,City-mpg,Highway-mpg,Price
0,2548,130,111,21,27,13495
1,2548,130,111,21,27,16500
2,2823,152,154,19,26,16500
3,2337,109,102,24,30,13950
4,2824,136,115,18,22,17450
5,2507,136,110,19,25,15250
6,2844,136,110,19,25,17710
7,2954,136,110,19,25,18920
8,3086,131,140,17,20,23875
10,2395,108,101,23,29,16430
11,2395,108,101,23,29,16925
12,2710,164,121,21,28,20970
13,2765,164,121,21,28,21105
14,3055,164,121,20,25,24565
15,3230,209,182,16,22,30760
16,3380,209,182,16,22,41315
17,3505,209,182,15,20,36880
18,1488,61,48,47,53,5151
19,1874,90,70,38,43,6295
20,1909,90,70,38,43,6575
21,1876,90,68,37,41,5572
22,1876,90,68,31,38,6377
23,2128,98,102,24,30,7957
24,1967,90,68,31,38,6229
25,1989,90,68,31,38,6692
26,1989,90,68,31,38,7609
27,2191,98,102,24,30,8558
28,2535,122,88,24,30,8921
29,2811,156,145,19,24,12964
30,1713,92,58,49,54,6479
31,1819,92,76,31,38,6855
32,1837,79,60,38,42,5399
33,1940,92,76,30,34,6529
34,1956,92,76,30,34,7129
35,2010,92,76,30,34,7295
36,2024,92,76,30,34,7295
37,2236,110,86,27,33,7895
38,2289,110,86,27,33,9095
39,2304,110,86,27,33,8845
40,2372,110,86,27,33,10295
41,2465,110,101,24,28,12945
42,2293,110,100,25,31,10345
43,2337,111,78,24,29,6785
46,2734,119,90,24,29,11048
47,4066,258,176,15,19,32250
48,4066,258,176,15,19,35550
49,3950,326,262,13,17,36000
50,1890,91,68,30,31,5195
51,1900,91,68,31,38,6095
52,1905,91,68,31,38,6795
53,1945,91,68,31,38,6695
54,1950,91,68,31,38,7395
55,2380,70,101,17,23,10945
56,2380,70,101,17,23,11845
57,2385,70,101,17,23,13645
58,2500,80,135,16,23,15645
59,2385,122,84,26,32,8845
60,2410,122,84,26,32,8495
61,2385,122,84,26,32,10595
62,2410,122,84,26,32,10245
63,2443,122,64,36,42,10795
64,2425,122,84,26,32,11245
65,2670,140,120,19,27,18280
66,2700,134,72,31,39,18344
67,3515,183,123,22,25,25552
68,3750,183,123,22,25,28248
69,3495,183,123,22,25,28176
70,3770,183,123,22,25,31600
71,3740,234,155,16,18,34184
72,3685,234,155,16,18,35056
73,3900,308,184,14,16,40960
74,3715,304,184,14,16,45400
75,2910,140,175,19,24,16503
76,1918,92,68,37,41,5389
77,1944,92,68,31,38,6189
78,2004,92,68,31,38,6669
79,2145,98,102,24,30,7689
80,2370,110,116,23,30,9959
81,2328,122,88,25,32,8499
82,2833,156,145,19,24,12629
83,2921,156,145,19,24,14869
84,2926,156,145,19,24,14489
85,2365,122,88,25,32,6989
86,2405,122,88,25,32,8189
87,2403,110,116,23,30,9279
88,2403,110,116,23,30,9279
89,1889,97,69,31,37,5499
90,2017,103,55,45,50,7099
91,1918,97,69,31,37,6649
92,1938,97,69,31,37,6849
93,2024,97,69,31,37,7349
94,1951,97,69,31,37,7299
95,2028,97,69,31,37,7799
96,1971,97,69,31,37,7499
97,2037,97,69,31,37,7999
98,2008,97,69,31,37,8249
99,2324,120,97,27,34,8949
100,2302,120,97,27,34,9549
101,3095,181,152,17,22,13499
102,3296,181,152,17,22,14399
103,3060,181,152,19,25,13499
104,3071,181,160,19,25,17199
105,3139,181,200,17,23,19699
106,3139,181,160,19,25,18399
107,3020,120,97,19,24,11900
108,3197,152,95,28,33,13200
109,3230,120,97,19,24,12440
110,3430,152,95,25,25,13860
111,3075,120,95,19,24,15580
112,3252,152,95,28,33,16900
113,3285,120,95,19,24,16695
114,3485,152,95,25,25,17075
115,3075,120,97,19,24,16630
116,3252,152,95,28,33,17950
117,3130,134,142,18,24,18150
118,1918,90,68,37,41,5572
119,2128,98,102,24,30,7957
120,1967,90,68,31,38,6229
121,1989,90,68,31,38,6692
122,2191,98,68,31,38,7609
123,2535,122,88,24,30,8921
124,2818,156,145,19,24,12764
125,2778,151,143,19,27,22018
126,2756,194,207,17,25,32528
127,2756,194,207,17,25,34028
128,2800,194,207,17,25,37028
132,2658,121,110,21,28,11850
133,2695,121,110,21,28,12170
134,2707,121,110,21,28,15040
135,2758,121,110,21,28,15510
136,2808,121,160,19,26,18150
137,2847,121,160,19,26,18620
138,2050,97,69,31,36,5118
139,2120,108,73,26,31,7053
140,2240,108,73,26,31,7603
141,2145,108,82,32,37,7126
142,2190,108,82,28,33,7775
143,2340,108,94,26,32,9960
144,2385,108,82,24,25,9233
145,2510,108,111,24,29,11259
146,2290,108,82,28,32,7463
147,2455,108,94,25,31,10198
148,2420,108,82,23,29,8013
149,2650,108,111,23,23,11694
150,1985,92,62,35,39,5348
151,2040,92,62,31,38,6338
152,2015,92,62,31,38,6488
153,2280,92,62,31,37,6918
154,2290,92,62,27,32,7898
155,3110,92,62,27,32,8778
156,2081,98,70,30,37,6938
157,2109,98,70,30,37,7198
158,2275,110,56,34,36,7898
159,2275,110,56,38,47,7788
160,2094,98,70,38,47,7738
161,2122,98,70,28,34,8358
162,2140,98,70,28,34,9258
163,2169,98,70,29,34,8058
164,2204,98,70,29,34,8238
165,2265,98,112,26,29,9298
166,2300,98,112,26,29,9538
167,2540,146,116,24,30,8449
168,2536,146,116,24,30,9639
169,2551,146,116,24,30,9989
170,2679,146,116,24,30,11199
171,2714,146,116,24,30,11549
172,2975,146,116,24,30,17669
173,2326,122,92,29,34,8948
174,2480,110,73,30,33,10698
175,2414,122,92,27,32,9988
176,2414,122,92,27,32,10898
177,2458,122,92,27,32,11248
178,2976,171,161,20,24,16558
179,3016,171,161,19,24,15998
180,3131,171,156,20,24,15690
181,3151,161,156,19,24,15750
182,2261,97,52,37,46,7775
183,2209,109,85,27,34,7975
184,2264,97,52,37,46,7995
185,2212,109,85,27,34,8195
186,2275,109,85,27,34,8495
187,2319,97,68,37,42,9495
188,2300,109,100,26,32,9995
189,2254,109,90,24,29,11595
190,2221,109,90,24,29,9980
191,2661,136,110,19,24,13295
192,2579,97,68,33,38,13845
193,2563,109,88,25,31,12290
194,2912,141,114,23,28,12940
195,3034,141,114,23,28,13415
196,2935,141,114,24,28,15985
197,3042,141,114,24,28,16515
198,3045,130,162,17,22,18420
199,3157,130,162,17,22,18950
200,2952,141,114,23,28,16845
201,3049,141,160,19,25,19045
202,3012,173,134,18,23,21485
203,3217,145,106,26,27,22470
204,3062,141,114,19,25,22625
